district_id,district_name,state_name,state_abbreviation,county_name,county_fips,district_city,district_zip,district_type,operational_schools,district_location_label,total_students,students_per_psychologist,students_per_guidance_counselor,school_support_pressure_rank,hpsa_designation_count,avg_hpsa_score,max_hpsa_score,provider_shortage_pressure_rank,local_overlap_score,jackson_county_focus,jackson_county_flag,display_label
4110820,Salem-Keizer SD 24J,OREGON,OR,Marion County,41047,Salem,97305,Regular public school district that is not a component of a supervisory union,65,"Salem, Oregon 97305",37982.0,2623.1,338.5,23.0,10,16.3,21,20,21.5,Other Oregon County,0,Salem-Keizer SD 24J | Marion County
4111670,Springfield SD 19,OREGON,OR,Lane County,41039,Springfield,97477,Regular public school district that is not a component of a supervisory union,21,"Springfield, Oregon 97477",9250.0,874.3,711.5,30.0,7,16.86,21,14,22.0,Other Oregon County,0,Springfield SD 19 | Lane County
4107500,Lincoln County SD,OREGON,OR,Lane County,41039,Newport,97365,Regular public school district that is not a component of a supervisory union,17,"Newport, Oregon 97365",4809.0,1202.3,369.9,31.0,7,16.86,21,14,22.5,Other Oregon County,0,Lincoln County SD | Lane County
4111450,Silver Falls SD 4J,OREGON,OR,Clackamas County,41005,Silverton,97381,Regular public school district that is not a component of a supervisory union,13,"Silverton, Oregon 97381",3652.0,3652.0,332.6,20.0,4,15.75,18,25,22.5,Other Oregon County,0,Silver Falls SD 4J | Clackamas County
4102040,Bethel SD 52,OREGON,OR,Lane County,41039,Eugene,97402,Regular public school district that is not a component of a supervisory union,11,"Eugene, Oregon 97402",5027.0,1675.7,314.2,31.5,7,16.86,21,14,22.75,Other Oregon County,0,Bethel SD 52 | Lane County
4100048,North Wasco County SD 21,OREGON,OR,Wasco County,41065,The Dalles,97058,Regular public school district that is not a component of a supervisory union,7,"The Dalles, Oregon 97058",2835.0,2835.0,283.5,28.5,5,16.6,18,17,22.75,Other Oregon County,0,North Wasco County SD 21 | Wasco County
4111610,South Umpqua SD 19,OREGON,OR,Douglas County,41019,Myrtle Creek,97457,Regular public school district that is not a component of a supervisory union,5,"Myrtle Creek, Oregon 97457",1412.0,706.0,706.0,34.5,10,17.2,22,12,23.25,Other Oregon County,0,South Umpqua SD 19 | Douglas County
4109480,Parkrose SD 3,OREGON,OR,Multnomah County,41051,Portland,97220,Regular public school district that is not a component of a supervisory union,6,"Portland, Oregon 97220",2780.0,1502.7,351.9,29.0,16,16.5,21,18,23.5,Other Oregon County,0,Parkrose SD 3 | Multnomah County
4101710,Baker SD 5J,OREGON,OR,Baker County,41001,Baker City,97814,Regular public school district that is not a component of a supervisory union,12,"Baker City, Oregon 97814",5201.0,2600.5,161.3,39.0,3,18.0,18,10,24.5,Other Oregon County,0,Baker SD 5J | Baker County
4111040,Scio SD 95,OREGON,OR,Linn County,41043,Scio,97374,Regular public school district that is not a component of a supervisory union,5,"Scio, Oregon 97374",1998.0,3567.9,362.0,17.0,2,14.5,16,32,24.5,Other Oregon County,0,Scio SD 95 | Linn County
